,category,lat,lng,name,rating,reviews,yelpid
15,chinese,43.6796999,-79.33971,Danforth Dragon Restaurant,3.5,48,danforth-dragon-restaurant-toronto
16,chinese,43.69956,-79.29809,Golden Wok Chinese Restaurant,4.5,9,golden-wok-chinese-restaurant-toronto
17,chinese,43.65546,-79.39852,New Sky Restaurant,3.5,80,new-sky-restaurant-toronto-2
18,chinese,43.653324,-79.395372,Dim Sum King Seafood Restaurant,3.5,128,dim-sum-king-seafood-restaurant-toronto
19,chinese,43.66191,-79.33985,Mean Bao,4.0,36,mean-bao-toronto-5
20,chinese,43.6558635,-79.3938328,Wah Sing Seafood Restaurant,3.0,67,wah-sing-seafood-restaurant-toronto
21,chinese,43.6616,-79.3789199,Neighbor Wang,3.0,24,neighbor-wang-toronto-2
22,chinese,43.6640707787,-79.3683640197,China Gourmet Takeout,3.5,17,china-gourmet-takeout-toronto
23,chinese,43.7060318,-79.3985138,Mandarin Restaurant - Toronto,3.5,80,mandarin-restaurant-toronto-toronto
24,chinese,43.6531088463,-79.39671278,Rosewood Chinese Cuisine,3.0,106,rosewood-chinese-cuisine-toronto
25,chinese,43.7036,-79.39796,C'est Bon,3.0,30,cest-bon-toronto
26,chinese,43.65711,-79.39934,Mother's Dumplings,3.5,395,mothers-dumplings-toronto
27,chinese,43.65206,-79.40267,Greens Vegetarian Restaurant,3.5,83,greens-vegetarian-restaurant-toronto
28,chinese,43.65332,-79.39476,King Crab Seafood Restaurant,3.5,7,king-crab-seafood-restaurant-toronto
29,chinese,43.65995,-79.4796,Westwood Grill,3.0,31,westwood-grill-toronto
30,chinese,43.71687,-79.40002,C'est Bon,3.0,33,cest-bon-toronto-2
31,chinese,43.6501688,-79.3684058,On The Rocks,3.5,20,on-the-rocks-toronto
32,chinese,43.67988,-79.43289,Cho Cho Cho,3.0,22,cho-cho-cho-toronto
33,chinese,43.655571,-79.3994293,Si Chuan House Cuisine,3.5,20,si-chuan-house-cuisine-toronto
34,chinese,43.6564695862,-79.3991608089,Spice And Aroma,4.0,6,spice-and-aroma-toronto-4
35,chinese,43.66316,-79.40309,River Tai Restaurant,4.0,7,river-tai-restaurant-toronto-2
36,chinese,43.64372,-79.40467,King Chef Cuisine,3.0,13,king-chef-cuisine-toronto
37,chinese,43.7224834,-79.3020196,Yummy Garden,4.0,21,yummy-garden-toronto
38,chinese,43.65554,-79.38549,New Treasure,3.0,48,new-treasure-toronto
39,chinese,43.6630083324,-79.4026139751,River Tai,4.0,3,river-tai-toronto
40,chinese,43.65628,-79.39974,Canton Chilli Restaurant,3.5,63,canton-chilli-restaurant-toronto
41,chinese,43.646801,-79.4035568,Mean Bao,3.5,64,mean-bao-toronto-3
42,chinese,43.65126,-79.47459,Delights of China,5.0,6,delights-of-china-toronto
43,chinese,43.6596196668,-79.3849254772,Daisy's Kitchen,5.0,1,daisys-kitchen-toronto
44,chinese,43.66522,-79.47411,Lotus Inn,3.0,9,lotus-inn-toronto
45,chinese,43.6796799,-79.4362717,Brothers Bar Restaurant,3.5,6,brothers-bar-restaurant-toronto
46,chinese,43.6535912,-79.3956985,Taste of Yunnan,3.5,20,taste-of-yunnan-toronto
47,chinese,43.6613808,-79.3804016,Ho Jan Chinese Restaurant,3.0,30,ho-jan-chinese-restaurant-toronto
48,chinese,43.65341,-79.39699,Harmoney Chinese Restaurant,3.5,2,harmoney-chinese-restaurant-toronto
49,chinese,43.68367,-79.39249,Golden House,3.5,11,golden-house-toronto
0,chinese,43.65295,-79.39909,Chinese Traditional Buns,3.0,65,chinese-traditional-buns-toronto-3
1,chinese,43.66905,-79.38606,Spring Rolls,3.0,97,spring-rolls-toronto
2,chinese,43.7079638335,-79.4774818048,Hakka No. 1,3.5,21,hakka-no-1-toronto-2
3,chinese,43.65037,-79.38031,Szechuan Express BAC,3.0,9,szechuan-express-bac-toronto
4,chinese,43.66954,-79.3359,Yummy House,4.5,6,yummy-house-toronto
5,chinese,43.65674,-79.36468,Peking Express,2.5,34,peking-express-toronto
6,chinese,43.64329,-79.42424,Saigon Flower Restaurant,2.0,27,saigon-flower-restaurant-toronto
7,chinese,43.64943,-79.37195,Yip's Kitchen,3.5,4,yips-kitchen-toronto
